suburb,suburb_population,suburb_median_income
Beverley Park,2393,39208
Saratoga,3938,36244
Glebe,11532,43368
Macquarie Fields,13714,26936
Annandale,9451,60424
Pymble,11051,53300
Wamberal,6550,41496
Faulconbridge,4025,41184
Seven Hills,19326,33540
Surry Hills,16412,60320
Collaroy,7870,49660
Matraville,9804,36452
Chester Hill,12814,23504
Blue Haven,6378,29796
Homebush,7007,37908
Hinchinbrook,11222,30732
Kellyville Ridge,10468,51532
Kirkham,699,48256
Richmond,5482,32812
Lalor Park,7667,31200
Copacabana,2735,39312
Carlingford,24394,33696
Frenchs Forest,13473,44876
Grasmere,1963,36244
Beacon Hill,7457,41288
Pearl Beach,536,35568
Glenbrook,5051,43992
Ourimbah,3951,37180
Oyster Bay,5488,47736
Hornsby Heights,6305,43576
Erina,4774,28340
South Wentworthville,6197,32032
Canterbury,7233,34632
Punchbowl,20236,22048
Belrose,8780,39728
Campbelltown,12566,30628
Strathfield,25813,34424
Dundas Valley,5412,32188
Daleys Point,681,26936
Gymea Bay,6892,44460
Potts Hill,893,40820
Mona Vale,10670,45240
Kirrawee,9278,39052
Tascott,1602,36868
Seaforth,7139,55224
West Hoxton,10012,36764
Naremburn,5884,67184
Gordon,7668,44564
Middleton Grange,5177,44044
Fairfield West,11575,22620
Rosebery,10117,42172
Camden South,4539,39832
Lugarno,5606,40768
Buff Point,3511,27456
Kogarah Bay,2022,36504
Bankstown,32113,23556
South Windsor,5892,33696
Randwick,29986,57460
North Ryde,10860,36712
Gregory Hills,4985,51116
Woolooware,3962,44408
Rockdale,15534,33852
Hornsby,22168,38792
Girraween,5590,35152
Crows Nest,4798,70304
Springfield,4104,34320
Wattle Grove,8952,44096
Ruse,5584,36764
Marrickville,26592,41236
Raby,5944,39104
Tumbi Umbi,5108,32344
Ashbury,3329,38636
Umina Beach,16733,29380
North Parramatta,13248,37908
Mosman,28475,67340
Cheltenham,2243,48152
Plumpton,9209,35620
Forest Lodge,4583,55276
Roseville,10082,51896
Bligh Park,6366,41288
Terrigal,11349,38168
Watanobbi,3861,27508
Grays Point,3125,47268
Riverview,3354,51740
Cromer,7592,40144
Erskineville,8014,71812
Sandringham,1238,39728
Summer Hill,7311,51636
Cabramatta,21783,20644
Lindfield,9791,51064
Killcare,473,38584
Ambarvale,7374,28912
Wadalba,2831,35464
Five Dock,9356,45552
Belfield,6322,28496
Currans Hill,5309,42276
Epping,23688,37024
Smithfield,11972,23764
Pemulwuy,5009,52832
Kellyville,27971,46228
North Curl Curl,4117,48152
Colyton,8439,32292
Schofields,4983,42744
Emu Plains,8421,37388
Malabar,5420,36088
Glenmore Park,23004,45916
Greenwich,5613,62660
Quakers Hill,27080,40196
Forestville,8329,39884
Kingsford,15482,24908
Cambridge Park,6726,35360
Mount Colah,7095,43056
Ryde,26499,39312
